Time,ReferenceTime,DataTank.TemperaturTank,DieselData.DieselRPM,DieselData.Fuelconsumption,DieselData.NAFGear,DieselData.OperatHours,DieselData.Speed,MaschineStatus.AllradAus,MaschineStatus.AmbientPressure,MaschineStatus.AmbientTemp,MaschineStatus.CraneFktOn,MaschineStatus.DieselFuellstand,MaschineStatus.DieselWaterTemp,MaschineStatus.DiffLockOn,MaschineStatus.DriveDirecFow,MaschineStatus.DriveDirecRev,MaschineStatus.ECOModeOn,MaschineStatus.HighTempHydroOil,MaschineStatus.HighTempWater,MaschineStatus.HydroOilLevelLow,MaschineStatus.WorkHydraulikAktiv,Pumpe_Ibc_Obc_Druck.IbcP,Pumpe_Ibc_Obc_Druck.ObcP,Pumpe_Ibc_Obc_Druck.PumpeLS,Pumpe_Ibc_Obc_Druck.PumpeP,TankP.LeckoelP,TankP.LenkungA,TankP.LenkungB,TankP.TankP
2022-05-04 12:16:50,0,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.2,11.9,4.3
2022-05-04 12:16:50,0.019,16,799,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0.1,0.3,11.9,4.3
2022-05-04 12:16:50,0.039,16,799,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:50,0.07,16,799,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:50,0.089,16,799,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0.1,0.3,11.9,4.3
2022-05-04 12:16:50,0.109,16,799,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:50,0.13,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:50,0.149,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:50,0.17,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0.1,0.3,11.9,4.3
2022-05-04 12:16:50,0.2,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0.1,0.3,11.9,4.3
2022-05-04 12:16:50,0.219,16,800,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0.1,0.3,11.9,4.3
2022-05-04 12:16:50,0.239,16,800,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:50,0.26,16,800,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,12,4.3
2022-05-04 12:16:50,0.279,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.1,0,0.3,11.9,4.3
2022-05-04 12:16:51,0.299,16,799,2.2,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:51,0.329,16,799,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0,0.3,11.9,4.3
2022-05-04 12:16:51,0.349,16,800,2.1,2,1435,0,0,0,20,0,100,45,0,0,0,1,0,0,0,0,0,2.4,3.6,33.2,0.1,0.3,11.9,4.3
